Model inputs
Latitude = 25 deg
Longitude = 26 deg
Lake depth = 27 m
Lake fetch = 2000 m
Extinction coefficient = 1
Initial surface temperature = 8.815 C
Initial mixed layer thickness = 0 m
Initial mean temperature = 8.815 C
Initial bottom temperature = 8.815 C
Initial ice thickness = 0 m
Perpetual-year simulation = Yes

Results from FLAKE simulations.
Step (-),  Date (-),  Mixed-layer temperature (C),  Mean temperature of the water column (C),  Bottom temperature (C),Friction velocity in the surface air layer (m/s),  Friction velocity in the surface layer of lake water (m/s),  Convective velocity scale (m/s), Heat flux through the ice-water or air-water interface (W/m2),Sensible heat flux (W/m2),  Latent heat flux (W/m2),  Radiation flux through the ice-water or air-water interface (W/m2),Long-wave radiation flux from the atmosphere (W/m2), surface long-wave radiation flux (W/m2), Mixed-layer thickness (m),  Shape factor for thermocline (-),Thickness of the upper layer of the sediment (m),   Temperature at the bottom of the upper layer of the sediment (C),Heat flux through the water-bottom sediment interface (W /m2),  Ice thickness (m),  Snow thickness (m),Ice temperature (C), Snow temperature (C)
1108,2016-07-04 00:00,28.1953,23.6097,18.1980,0.653442E-01,0.220565E-02,0.118963E-01,-244.113,3.81239,-129.891,74.6325,344.854,-462.888,9.75818,0.718282,3.00000,4.00000,5.16808,0.00000,0.00000,0.00000,0.00000
1109,2016-07-04 06:00,28.0899,23.5764,18.2001,0.00000,0.108978E-03,0.00000,-78.1103,0.123618,-0.629255,805.380,384.636,-462.241,9.84486,0.718282,3.00000,4.00000,5.16885,0.00000,0.00000,0.00000,0.00000
1110,2016-07-04 12:00,28.4487,23.7140,18.2001,0.157556,0.531539E-02,0.103732E-01,-408.203,25.4809,-325.860,360.142,356.623,-464.447,9.63391,0.718282,3.00000,4.00000,5.16885,0.00000,0.00000,0.00000,0.00000
1111,2016-07-04 18:00,28.4120,23.7038,18.2009,0.638021E-01,0.215263E-02,0.134617E-01,-267.831,-4.86285,-130.906,0.00000,332.159,-464.221,9.66810,0.718282,3.00000,4.00000,5.16912,0.00000,0.00000,0.00000,0.00000
1112,2016-07-05 00:00,28.2465,23.6518,18.2042,0.525988E-01,0.177525E-02,0.113170E-01,-216.702,4.94232,-107.071,73.7025,348.629,-463.202,9.80156,0.718282,3.00000,4.00000,5.17034,0.00000,0.00000,0.00000,0.00000
1113,2016-07-05 06:00,28.1577,23.6236,18.2060,0.387965,0.130965E-01,0.00000,-490.034,110.916,-524.167,801.427,385.874,-462.657,9.87378,0.718282,3.00000,4.00000,5.17099,0.00000,0.00000,0.00000,0.00000
1114,2016-07-05 12:00,29.1624,23.6819,18.2060,0.192902,0.649811E-02,0.127316E-01,-534.400,9.36750,-423.308,363.630,348.400,-468.859,8.19231,0.718087,3.00000,4.00000,5.17099,0.00000,0.00000,0.00000,0.00000
1115,2016-07-05 18:00,29.0283,23.6484,18.2098,0.936914E-01,0.315699E-02,0.142982E-01,-364.358,-14.5803,-209.280,0.00000,327.530,-468.027,8.30619,0.718238,3.00000,4.00000,5.17235,0.00000,0.00000,0.00000,0.00000
1116,2016-07-06 00:00,28.7674,23.5780,18.2154,0.112450,0.379113E-02,0.133294E-01,-347.081,-0.865071,-220.461,73.2375,340.658,-466.413,8.51389,0.718282,3.00000,4.00000,5.17439,0.00000,0.00000,0.00000,0.00000
1117,2016-07-06 06:00,28.5738,23.5249,18.2193,0.00000,0.993451E-04,0.00000,-88.7134,0.977910E-01,-0.619653,797.707,377.027,-465.218,8.67112,0.718282,3.00000,4.00000,5.17582,0.00000,0.00000,0.00000,0.00000
1118,2016-07-06 12:00,28.9195,23.6590,18.2193,0.145423,0.490125E-02,0.106685E-01,-423.711,10.7194,-316.626,359.910,349.549,-467.354,8.51973,0.718282,3.00000,4.00000,5.17582,0.00000,0.00000,0.00000,0.00000
1119,2016-07-06 18:00,28.8659,23.6458,18.2203,0.855385E-01,0.288325E-02,0.138857E-01,-325.646,-10.7190,-177.523,0.00000,329.618,-467.022,8.56772,0.718282,3.00000,4.00000,5.17621,0.00000,0.00000,0.00000,0.00000
1120,2016-07-07 00:00,28.6395,23.5828,18.2249,0.101122,0.341014E-02,0.130822E-01,-325.646,2.82550,-206.451,73.2375,343.603,-465.624,8.74861,0.718282,3.00000,4.00000,5.17788,0.00000,0.00000,0.00000,0.00000
1121,2016-07-07 06:00,28.4656,23.5337,18.2285,0.00000,0.100766E-03,0.00000,-84.5177,0.108318,-0.646431,801.892,380.572,-464.551,8.89068,0.718282,3.00000,4.00000,5.17916,0.00000,0.00000,0.00000,0.00000
1122,2016-07-07 12:00,28.8167,23.6694,18.2285,0.199085,0.671126E-02,0.125698E-01,-517.101,18.7809,-421.021,362.467,351.857,-466.718,8.72647,0.718282,3.00000,4.00000,5.17916,0.00000,0.00000,0.00000,0.00000
1123,2016-07-07 18:00,28.7023,23.6390,18.2308,0.795814E-01,0.268338E-02,0.140509E-01,-329.773,-11.1587,-180.024,0.00000,327.421,-466.011,8.82409,0.718282,3.00000,4.00000,5.18000,0.00000,0.00000,0.00000,0.00000
1124,2016-07-08 00:00,28.4797,23.5752,18.2353,0.905827E-01,0.305575E-02,0.129542E-01,-312.181,1.83739,-191.509,72.7725,342.128,-464.638,9.00391,0.718282,3.00000,4.00000,5.18164,0.00000,0.00000,0.00000,0.00000
1125,2016-07-08 06:00,28.3193,23.5286,18.2385,0.00000,0.897057E-04,0.00000,-86.5507,0.102673,-0.639210,801.195,377.636,-463.650,9.13615,0.718282,3.00000,4.00000,5.18282,0.00000,0.00000,0.00000,0.00000
1126,2016-07-08 12:00,28.6551,23.6637,18.2385,0.153975,0.519235E-02,0.111330E-01,-442.135,15.1694,-342.518,361.072,350.933,-465.720,8.98787,0.718282,3.00000,4.00000,5.18282,0.00000,0.00000,0.00000,0.00000
1127,2016-07-08 18:00,28.5932,23.6473,18.2398,0.956485E-01,0.322587E-02,0.144936E-01,-354.731,-11.7653,-206.366,0.00000,328.738,-465.338,9.04313,0.718282,3.00000,4.00000,5.18327,0.00000,0.00000,0.00000,0.00000
1128,2016-07-09 00:00,28.3596,23.5787,18.2445,0.641039E-01,0.216305E-02,0.118877E-01,-250.554,1.31443,-129.646,72.7725,341.675,-463.898,9.23335,0.718282,3.00000,4.00000,5.18500,0.00000,0.00000,0.00000,0.00000
1129,2016-07-09 06:00,28.2428,23.5439,18.2469,0.00000,0.802182E-04,0.00000,-89.3669,0.951680E-01,-0.635509,801.427,374.354,-463.180,9.32960,0.718282,3.00000,4.00000,5.18586,0.00000,0.00000,0.00000,0.00000
1130,2016-07-09 12:00,28.5657,23.6785,18.2469,0.139706,0.471205E-02,0.105023E-01,-416.366,12.1192,-312.521,362.235,349.204,-465.168,9.19678,0.718282,3.00000,4.00000,5.18586,0.00000,0.00000,0.00000,0.00000
1131,2016-07-09 18:00,28.5229,23.6672,18.2477,0.914212E-01,0.308376E-02,0.144597E-01,-345.864,-12.4053,-195.756,0.00000,327.202,-464.904,9.23642,0.718282,3.00000,4.00000,5.18617,0.00000,0.00000,0.00000,0.00000
1132,2016-07-10 00:00,28.2998,23.6004,18.2522,0.626641E-01,0.211473E-02,0.118311E-01,-244.092,2.41827,-126.242,71.8425,343.262,-463.530,9.41851,0.718282,3.00000,4.00000,5.18782,0.00000,0.00000,0.00000,0.00000
1133,2016-07-10 06:00,28.1889,23.5666,18.2545,0.00000,0.813694E-04,0.00000,-86.1082,0.103427,-0.633196,800.730,377.270,-462.849,9.51004,0.718282,3.00000,4.00000,5.18863,0.00000,0.00000,0.00000,0.00000
1134,2016-07-10 12:00,28.5137,23.7017,18.2545,0.115338,0.389058E-02,0.891066E-02,-365.685,9.70227,-259.169,363.397,348.629,-464.848,9.36875,0.718282,3.00000,4.00000,5.18863,0.00000,0.00000,0.00000,0.00000
1135,2016-07-10 18:00,28.5050,23.7003,18.2547,0.862773E-01,0.291035E-02,0.143159E-01,-330.749,-10.5946,-183.659,0.00000,328.298,-464.794,9.38020,0.718282,3.00000,4.00000,5.18869,0.00000,0.00000,0.00000,0.00000
1136,2016-07-11 00:00,28.2948,23.6363,18.2589,0.950763E-01,0.320858E-02,0.132273E-01,-315.233,3.71280,-198.594,71.8425,343.148,-463.500,9.55137,0.718282,3.00000,4.00000,5.19024,0.00000,0.00000,0.00000,0.00000
1137,2016-07-11 06:00,28.1411,23.5889,18.2620,0.00000,0.836052E-04,0.00000,-86.2104,0.103104,-0.662940,805.380,376.905,-462.555,9.67898,0.718282,3.00000,4.00000,5.19138,0.00000,0.00000,0.00000,0.00000
1138,2016-07-11 12:00,28.4681,23.7249,18.2620,0.142510,0.480759E-02,0.109189E-01,-432.742,13.7813,-331.736,364.560,349.780,-464.567,9.53045,0.718282,3.00000,4.00000,5.19138,0.00000,0.00000,0.00000,0.00000
1139,2016-07-11 18:00,28.4182,23.7109,18.2630,0.106024,0.357712E-02,0.152937E-01,-396.411,-11.1328,-250.748,0.00000,329.728,-464.259,9.57596,0.718282,3.00000,4.00000,5.19174,0.00000,0.00000,0.00000,0.00000
1140,2016-07-12 00:00,28.1718,23.6344,18.2680,0.483378E-01,0.163169E-02,0.115249E-01,-225.152,3.09179,-110.583,72.0750,345.082,-462.743,9.77859,0.718282,3.00000,4.00000,5.19356,0.00000,0.00000,0.00000,0.00000
1141,2016-07-12 06:00,28.0767,23.6043,18.2699,0.00000,0.858364E-04,0.00000,-82.6262,0.112135,-0.660187,807.937,380.081,-462.159,9.85721,0.718282,3.00000,4.00000,5.19426,0.00000,0.00000,0.00000,0.00000
1142,2016-07-12 12:00,28.4085,23.7415,18.2699,0.154774,0.522199E-02,0.117021E-01,-466.314,18.0035,-371.743,366.420,351.626,-464.199,9.69649,0.718282,3.00000,4.00000,5.19426,0.00000,0.00000,0.00000,0.00000
1143,2016-07-12 18:00,28.3399,23.7214,18.2713,0.772431E-01,0.260651E-02,0.145063E-01,-333.054,-9.62966,-186.958,0.00000,327.311,-463.777,9.75756,0.718282,3.00000,4.00000,5.19476,0.00000,0.00000,0.00000,0.00000
1144,2016-07-13 00:00,28.1363,23.6570,18.2754,0.574098E-01,0.193807E-02,0.118207E-01,-235.662,5.56757,-127.218,71.3775,348.515,-462.526,9.92482,0.718282,3.00000,4.00000,5.19626,0.00000,0.00000,0.00000,0.00000
1145,2016-07-13 06:00,28.0359,23.6247,18.2775,0.00000,0.649933E-04,0.00000,-76.7419,0.127162,-0.690374,803.055,385.731,-461.910,10.0080,0.718282,3.00000,4.00000,5.19700,0.00000,0.00000,0.00000,0.00000
1146,2016-07-13 12:00,28.3502,23.7621,18.2775,0.156468,0.527977E-02,0.110839E-01,-435.978,26.5622,-355.674,362.700,356.974,-463.840,9.87796,0.718282,3.00000,4.00000,5.19700,0.00000,0.00000,0.00000,0.00000
1147,2016-07-13 18:00,28.2992,23.7471,18.2785,0.853244E-01,0.287945E-02,0.146323E-01,-336.623,-6.92402,-197.556,0.00000,331.384,-463.527,9.92433,0.718282,3.00000,4.00000,5.19737,0.00000,0.00000,0.00000,0.00000
1148,2016-07-14 00:00,28.0969,23.6820,18.2826,0.569805E-01,0.192374E-02,0.118665E-01,-234.557,5.50523,-126.064,70.4475,348.285,-462.283,10.0907,0.718282,3.00000,4.00000,5.19887,0.00000,0.00000,0.00000,0.00000
1149,2016-07-14 06:00,27.9982,23.6498,18.2846,0.00000,0.765169E-04,0.00000,-77.5743,0.124821,-0.657087,804.915,384.636,-461.678,10.1725,0.718282,3.00000,4.00000,5.19959,0.00000,0.00000,0.00000,0.00000
1150,2016-07-14 12:00,28.3221,23.7873,18.2846,0.180920,0.610522E-02,0.120000E-01,-475.381,29.8643,-398.435,364.327,356.857,-463.668,10.0177,0.718282,3.00000,4.00000,5.19959,0.00000,0.00000,0.00000,0.00000
1151,2016-07-14 18:00,28.2493,23.7652,18.2861,0.942120E-01,0.317971E-02,0.149915E-01,-357.094,-6.93566,-218.875,0.00000,331.937,-463.220,10.0822,0.718282,3.00000,4.00000,5.20012,0.00000,0.00000,0.00000,0.00000
1152,2016-07-15 00:00,28.0381,23.6962,18.2903,0.677834E-01,0.228874E-02,0.123911E-01,-256.853,6.00424,-148.188,70.6800,347.253,-461.923,10.2566,0.718282,3.00000,4.00000,5.20168,0.00000,0.00000,0.00000,0.00000
1153,2016-07-15 06:00,27.9282,23.6597,18.2926,0.00000,0.771515E-04,0.00000,-75.9001,0.128893,-0.654018,804.915,385.874,-461.249,10.3482,0.718282,3.00000,4.00000,5.20249,0.00000,0.00000,0.00000,0.00000
1154,2016-07-15 12:00,28.2526,23.7976,18.2926,0.202335,0.682888E-02,0.130517E-01,-525.818,30.8001,-449.067,364.095,355.689,-463.240,10.1867,0.718282,3.00000,4.00000,5.20249,0.00000,0.00000,0.00000,0.00000
1155,2016-07-15 18:00,28.1514,23.7658,18.2946,0.114144,0.385320E-02,0.157002E-01,-404.089,-8.32942,-264.746,0.00000,331.605,-462.618,10.2753,0.718282,3.00000,4.00000,5.20323,0.00000,0.00000,0.00000,0.00000
1156,2016-07-16 00:00,27.9171,23.6878,18.2993,0.103886,0.350864E-02,0.140973E-01,-346.124,6.35614,-234.902,69.5175,343.603,-461.181,10.4706,0.718282,3.00000,4.00000,5.20496,0.00000,0.00000,0.00000,0.00000
1157,2016-07-16 06:00,27.7581,23.6342,18.3026,0.00000,0.798609E-04,0.00000,-74.3512,0.132392,-0.646151,802.125,386.370,-460.208,10.6056,0.718282,3.00000,4.00000,5.20613,0.00000,0.00000,0.00000,0.00000
1158,2016-07-16 12:00,28.0824,23.7718,18.3026,0.174718,0.589889E-02,0.116801E-01,-458.846,29.0295,-381.370,364.327,355.689,-462.195,10.4319,0.718282,3.00000,4.00000,5.20613,0.00000,0.00000,0.00000,0.00000
1159,2016-07-16 18:00,28.0222,23.7528,18.3038,0.121070,0.408811E-02,0.161382E-01,-432.336,-9.37280,-291.748,0.00000,330.610,-461.825,10.4866,0.718282,3.00000,4.00000,5.20657,0.00000,0.00000,0.00000,0.00000
1160,2016-07-17 00:00,27.7767,23.6695,18.3088,0.109244,0.369067E-02,0.142855E-01,-354.004,7.39894,-244.684,69.9825,343.603,-460.321,10.6935,0.718282,3.00000,4.00000,5.20839,0.00000,0.00000,0.00000,0.00000
1161,2016-07-17 06:00,27.6169,23.6144,18.3120,0.00000,0.971658E-04,0.00000,-79.6613,0.118470,-0.639119,804.682,380.204,-459.344,10.8307,0.718282,3.00000,4.00000,5.20956,0.00000,0.00000,0.00000,0.00000
1162,2016-07-17 12:00,27.9504,23.7515,18.3120,0.174156,0.588153E-02,0.114115E-01,-446.514,22.3718,-358.549,363.630,351.048,-461.385,10.6244,0.718282,3.00000,4.00000,5.20956,0.00000,0.00000,0.00000,0.00000
1163,2016-07-17 18:00,27.8979,23.7347,18.3130,0.150598,0.508648E-02,0.161189E-01,-425.462,-9.90844,-285.543,0.00000,331.052,-461.063,10.6728,0.718282,3.00000,4.00000,5.20995,0.00000,0.00000,0.00000,0.00000
1164,2016-07-18 00:00,27.6605,23.6527,18.3179,0.166414,0.562344E-02,0.158574E-01,-458.104,-8.07584,-322.023,69.2850,331.605,-459.611,10.8747,0.718282,3.00000,4.00000,5.21170,0.00000,0.00000,0.00000,0.00000
1165,2016-07-18 06:00,27.4463,23.5776,18.3222,0.279223,0.943969E-02,0.00000,-507.712,62.5159,-475.966,810.030,364.041,-458.303,11.0617,0.718282,3.00000,4.00000,5.21328,0.00000,0.00000,0.00000,0.00000
1166,2016-07-18 12:00,28.4002,23.6342,18.3222,0.167447,0.564964E-02,0.117842E-01,-472.545,-3.16703,-343.074,362.700,337.844,-464.148,9.22047,0.718163,3.00000,4.00000,5.21328,0.00000,0.00000,0.00000,0.00000
1167,2016-07-18 18:00,28.3214,23.6123,18.3245,0.123068,0.415300E-02,0.156012E-01,-435.340,-27.9994,-261.561,0.00000,317.883,-463.663,9.29312,0.718282,3.00000,4.00000,5.21413,0.00000,0.00000,0.00000,0.00000
1168,2016-07-19 00:00,28.0430,23.5284,18.3302,0.166512,0.562229E-02,0.154378E-01,-470.364,-20.0606,-314.568,68.5875,326.217,-461.953,9.52785,0.718282,3.00000,4.00000,5.21619,0.00000,0.00000,0.00000,0.00000
1169,2016-07-19 06:00,27.7909,23.4509,18.3353,0.282483,0.954306E-02,0.00000,-491.502,50.6963,-441.814,800.032,360.024,-460.408,9.74660,0.718282,3.00000,4.00000,5.21806,0.00000,0.00000,0.00000,0.00000
1170,2016-07-19 12:00,28.6804,23.5086,18.3353,0.161058,0.543090E-02,0.117455E-01,-480.874,-9.60642,-340.440,361.537,335.048,-465.876,8.20520,0.718177,3.00000,4.00000,5.21806,0.00000,0.00000,0.00000,0.00000
1171,2016-07-19 18:00,28.5839,23.4849,18.3379,0.948573E-01,0.319925E-02,0.143688E-01,-377.053,-23.3576,-205.656,0.00000,317.240,-465.280,8.29309,0.718282,3.00000,4.00000,5.21901,0.00000,0.00000,0.00000,0.00000
1172,2016-07-20 00:00,28.3138,23.4121,18.3434,0.105828,0.357128E-02,0.135046E-01,-360.764,-6.66349,-223.751,68.8200,333.268,-463.617,8.51979,0.718282,3.00000,4.00000,5.22101,0.00000,0.00000,0.00000,0.00000
1173,2016-07-20 06:00,28.1080,23.3555,18.3476,0.00000,0.831393E-04,0.00000,-97.0819,0.745548E-01,-0.628864,803.752,365.824,-462.352,8.69682,0.718282,3.00000,4.00000,5.22253,0.00000,0.00000,0.00000,0.00000
1174,2016-07-20 12:00,28.4311,23.4891,18.3476,0.105063,0.354461E-02,0.878930E-02,-361.638,-0.875429,-235.504,362.002,339.080,-464.338,8.57704,0.718282,3.00000,4.00000,5.22253,0.00000,0.00000,0.00000,0.00000
1175,2016-07-20 18:00,28.4227,23.4882,18.3478,0.973578E-01,0.328469E-02,0.143453E-01,-364.655,-16.3219,-207.865,0.00000,323.819,-464.287,8.58922,0.718282,3.00000,4.00000,5.22259,0.00000,0.00000,0.00000,0.00000
1176,2016-07-21 00:00,28.1703,23.4177,18.3529,0.138050,0.466004E-02,0.141688E-01,-398.345,-2.49608,-270.062,67.1925,336.948,-462.734,8.80300,0.718282,3.00000,4.00000,5.22445,0.00000,0.00000,0.00000,0.00000
1177,2016-07-21 06:00,27.9448,23.3536,18.3575,0.00000,0.762230E-04,0.00000,-92.1147,0.870655E-01,-0.621201,795.847,369.770,-461.351,8.99907,0.718282,3.00000,4.00000,5.22612,0.00000,0.00000,0.00000,0.00000
1178,2016-07-21 12:00,28.2598,23.4867,18.3575,0.145936,0.492530E-02,0.107753E-01,-428.305,8.20882,-317.970,358.515,344.740,-463.284,8.88113,0.718282,3.00000,4.00000,5.22612,0.00000,0.00000,0.00000,0.00000
1179,2016-07-21 18:00,28.2047,23.4724,18.3586,0.925696E-01,0.312457E-02,0.143733E-01,-355.834,-13.5882,-204.099,0.00000,324.799,-462.946,8.93348,0.718282,3.00000,4.00000,5.22652,0.00000,0.00000,0.00000,0.00000
1180,2016-07-22 00:00,27.9677,23.4036,18.3634,0.813008E-01,0.274556E-02,0.126255E-01,-290.261,2.59871,-172.365,66.7275,340.997,-461.491,9.13705,0.718282,3.00000,4.00000,5.22827,0.00000,0.00000,0.00000,0.00000
1181,2016-07-22 06:00,27.8201,23.3601,18.3664,0.00000,0.802995E-04,0.00000,-85.2886,0.104453,-0.615846,793.522,375.810,-460.587,9.26606,0.718282,3.00000,4.00000,5.22936,0.00000,0.00000,0.00000,0.00000
1182,2016-07-22 12:00,28.1403,23.4940,18.3664,0.182874,0.617349E-02,0.117450E-01,-468.317,20.9100,-377.263,355.725,350.586,-462.550,9.13058,0.718282,3.00000,4.00000,5.22936,0.00000,0.00000,0.00000,0.00000
1183,2016-07-22 18:00,28.0590,23.4715,18.3680,0.132350,0.446866E-02,0.154740E-01,-433.470,-12.4084,-288.188,0.00000,329.178,-462.051,9.20601,0.718282,3.00000,4.00000,5.22995,0.00000,0.00000,0.00000,0.00000
1184,2016-07-23 00:00,27.7793,23.3880,18.3737,0.147756,0.499172E-02,0.146277E-01,-412.791,2.65584,-293.852,65.7975,338.743,-460.338,9.44981,0.718282,3.00000,4.00000,5.23203,0.00000,0.00000,0.00000,0.00000
1185,2016-07-23 06:00,27.5594,23.3209,18.3782,0.00000,0.107245E-03,0.00000,-81.3919,0.113857,-0.636449,793.522,378.124,-458.993,9.64659,0.718282,3.00000,4.00000,5.23365,0.00000,0.00000,0.00000,0.00000
1186,2016-07-23 12:00,27.9014,23.4555,18.3782,0.165313,0.558347E-02,0.116793E-01,-465.236,12.5059,-361.853,358.282,345.196,-461.085,9.45142,0.718282,3.00000,4.00000,5.23365,0.00000,0.00000,0.00000,0.00000
1187,2016-07-23 18:00,27.8266,23.4341,18.3797,0.103773,0.350549E-02,0.148691E-01,-375.440,-14.8259,-223.590,0.00000,323.602,-460.627,9.52232,0.718282,3.00000,4.00000,5.23420,0.00000,0.00000,0.00000,0.00000
1188,2016-07-24 00:00,27.5919,23.3616,18.3844,0.151506,0.512041E-02,0.151330E-01,-444.404,-4.76163,-313.496,66.9600,333.046,-459.192,9.72978,0.718282,3.00000,4.00000,5.23593,0.00000,0.00000,0.00000,0.00000
1189,2016-07-24 06:00,27.3599,23.2887,18.3891,0.303913,0.102762E-01,0.00000,-489.839,84.0027,-488.605,806.310,372.539,-457.776,9.94092,0.718282,3.00000,4.00000,5.23765,0.00000,0.00000,0.00000,0.00000
1190,2016-07-24 12:00,28.3223,23.3480,18.3891,0.164850,0.556294E-02,0.114920E-01,-469.803,5.52872,-354.471,359.910,342.808,-463.669,8.17273,0.718154,3.00000,4.00000,5.23765,0.00000,0.00000,0.00000,0.00000
1191,2016-07-24 18:00,28.2323,23.3261,18.3917,0.895431E-01,0.302224E-02,0.139989E-01,-355.195,-16.0443,-197.902,0.00000,321.868,-463.116,8.25885,0.718282,3.00000,4.00000,5.23859,0.00000,0.00000,0.00000,0.00000
1192,2016-07-25 00:00,27.9768,23.2574,18.3969,0.127786,0.431531E-02,0.140527E-01,-404.769,-2.51166,-276.651,66.9600,335.941,-461.547,8.48206,0.718282,3.00000,4.00000,5.24049,0.00000,0.00000,0.00000,0.00000
1193,2016-07-25 06:00,27.7384,23.1921,18.4018,0.00000,0.973438E-04,0.00000,-88.0953,0.970014E-01,-0.644559,805.380,372.539,-460.087,8.69634,0.718282,3.00000,4.00000,5.24225,0.00000,0.00000,0.00000,0.00000
1194,2016-07-25 12:00,28.0784,23.3277,18.4018,0.121750,0.411061E-02,0.922108E-02,-375.212,7.66749,-265.222,360.840,344.513,-462.170,8.54567,0.718282,3.00000,4.00000,5.24225,0.00000,0.00000,0.00000,0.00000
1195,2016-07-25 18:00,28.0596,23.3240,18.4021,0.870316E-01,0.293853E-02,0.138985E-01,-337.482,-11.6413,-189.130,0.00000,325.344,-462.055,8.56761,0.718282,3.00000,4.00000,5.24238,0.00000,0.00000,0.00000,0.00000
1196,2016-07-26 00:00,27.8253,23.2587,18.4069,0.792893E-01,0.267842E-02,0.123030E-01,-281.275,3.57056,-165.901,65.3325,341.675,-460.619,8.77433,0.718282,3.00000,4.00000,5.24411,0.00000,0.00000,0.00000,0.00000
1197,2016-07-26 06:00,27.6768,23.2166,18.4099,0.00000,0.617734E-04,0.00000,-82.6961,0.110742,-0.610271,795.615,377.514,-459.711,8.90775,0.718282,3.00000,4.00000,5.24521,0.00000,0.00000,0.00000,0.00000
1198,2016-07-26 12:00,27.9870,23.3514,18.4099,0.121698,0.410962E-02,0.927186E-02,-372.060,15.2505,-276.057,354.795,350.356,-461.609,8.80543,0.718282,3.00000,4.00000,5.24521,0.00000,0.00000,0.00000,0.00000
1199,2016-07-26 18:00,27.9672,23.3471,18.4103,0.793067E-01,0.267822E-02,0.137363E-01,-317.417,-6.92199,-178.295,0.00000,329.288,-461.488,8.82799,0.718282,3.00000,4.00000,5.24535,0.00000,0.00000,0.00000,0.00000
1200,2016-07-27 00:00,27.7531,23.2856,18.4146,0.714872E-01,0.241523E-02,0.119142E-01,-254.901,6.09202,-146.354,64.6350,345.538,-460.177,9.01734,0.718282,3.00000,4.00000,5.24693,0.00000,0.00000,0.00000,0.00000
1201,2016-07-27 06:00,27.6255,23.2484,18.4172,0.00000,0.869771E-04,0.00000,-76.3857,0.126880,-0.640018,791.430,383.524,-459.397,9.13186,0.718282,3.00000,4.00000,5.24787,0.00000,0.00000,0.00000,0.00000
1202,2016-07-27 12:00,27.9586,23.3836,18.4172,0.187456,0.633059E-02,0.118644E-01,-475.397,29.7997,-398.403,352.702,354.641,-461.435,8.97612,0.718282,3.00000,4.00000,5.24787,0.00000,0.00000,0.00000,0.00000
1203,2016-07-27 18:00,27.8691,23.3592,18.4190,0.109580,0.370133E-02,0.146337E-01,-375.441,-8.21760,-236.506,0.00000,330.169,-460.887,9.06104,0.718282,3.00000,4.00000,5.24852,0.00000,0.00000,0.00000,0.00000
1204,2016-07-28 00:00,27.6227,23.2867,18.4240,0.107849,0.364471E-02,0.134545E-01,-338.379,6.08743,-226.875,64.4025,341.788,-459.380,9.28123,0.718282,3.00000,4.00000,5.25035,0.00000,0.00000,0.00000,0.00000
1205,2016-07-28 06:00,27.4454,23.2335,18.4276,0.00000,0.998110E-04,0.00000,-79.7094,0.117880,-0.631704,797.010,379.102,-458.297,9.44330,0.718282,3.00000,4.00000,5.25166,0.00000,0.00000,0.00000,0.00000
1206,2016-07-28 12:00,27.7842,23.3691,18.4276,0.139459,0.471139E-02,0.103689E-01,-410.989,13.1280,-310.087,356.887,346.338,-460.368,9.26260,0.718282,3.00000,4.00000,5.25166,0.00000,0.00000,0.00000,0.00000
1207,2016-07-28 18:00,27.7419,23.3578,18.4285,0.596234E-01,0.201445E-02,0.135308E-01,-290.540,-10.2208,-142.403,0.00000,322.192,-460.109,9.30558,0.718282,3.00000,4.00000,5.25196,0.00000,0.00000,0.00000,0.00000
1208,2016-07-29 00:00,27.5557,23.3015,18.4322,0.104521,0.353274E-02,0.134557E-01,-333.734,4.18028,-218.812,64.4025,339.868,-458.971,9.47214,0.718282,3.00000,4.00000,5.25334,0.00000,0.00000,0.00000,0.00000
1209,2016-07-29 06:00,27.3848,23.2492,18.4357,0.00000,0.104465E-03,0.00000,-81.2634,0.113619,-0.597161,796.545,377.148,-457.928,9.62880,0.718282,3.00000,4.00000,5.25460,0.00000,0.00000,0.00000,0.00000
1210,2016-07-29 12:00,27.7238,23.3844,18.4357,0.152207,0.514270E-02,0.105938E-01,-416.317,14.2584,-316.687,353.632,346.109,-459.998,9.43830,0.718282,3.00000,4.00000,5.25460,0.00000,0.00000,0.00000,0.00000
1211,2016-07-29 18:00,27.6770,23.3715,18.4366,0.602643E-01,0.203638E-02,0.135163E-01,-284.899,-9.09815,-139.366,0.00000,323.276,-459.712,9.48528,0.718282,3.00000,4.00000,5.25494,0.00000,0.00000,0.00000,0.00000
1212,2016-07-30 00:00,27.4978,23.3162,18.4403,0.106646,0.360499E-02,0.133626E-01,-323.451,5.03917,-210.192,63.9375,340.319,-458.617,9.64603,0.718282,3.00000,4.00000,5.25626,0.00000,0.00000,0.00000,0.00000
1213,2016-07-30 06:00,27.3360,23.2658,18.4436,0.00000,0.109580E-03,0.00000,-79.2500,0.118683,-0.595023,792.592,378.857,-457.631,9.79465,0.718282,3.00000,4.00000,5.25745,0.00000,0.00000,0.00000,0.00000
1214,2016-07-30 12:00,27.6783,23.4007,18.4436,0.158938,0.537062E-02,0.108325E-01,-423.684,16.3584,-327.233,352.005,346.910,-459.719,9.58819,0.718282,3.00000,4.00000,5.25745,0.00000,0.00000,0.00000,0.00000
1215,2016-07-30 18:00,27.6267,23.3860,18.4446,0.794088E-01,0.268357E-02,0.139302E-01,-307.541,-8.51967,-165.506,0.00000,325.889,-459.404,9.63949,0.718282,3.00000,4.00000,5.25783,0.00000,0.00000,0.00000,0.00000
